,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deuteros 1,omega,• KNEE PIGEON STRETCH ,"20""",,,,,,,,,,,,,,Deuteros 2,alfa,• QC PARCIAL   ISO.,,"20"" • 30"" • 40""",,,,,,,,,,,,,Deuteros 1,omega,• 90-90 GLUTE STRETCH ,"20""",,,,,,,,,,,,,,Deuteros 1,omega,• HT OL RING  W EXC.,10,,,,,,,,,,,,,,Deuteros 2,delta,• COSSACK SQUAT  CON.,30,,,,,,,,,,,,,,Deuteros 2,alfa,• QC ASSISTED   EXC.,40,,Accumulate X,,,,,,,,,,
,,,Deuteros 2,alfa,• P.U PIKE CON.,3,,Singlet,4,,,,,,,,,,,Deuteros 2,delta,• HINDU SQ + APE REACH   CON.,,10 • 12 • 14,,,,,,,,,,,,,Deuteros 2,alfa,• BOAT TUCK CON.,15 • 20,,AMRAP Series,3,4`,,,,,,,,,,Deuteros 1,omega,• DEADLIFT TO CLEAN W  CON.,20,,,,,,,,,,,,,,Deuteros 2,delta,• DEADLIFT OL W   EXC.,30,,,,,,,,,,,,,,Deuteros 2,alfa,• WARRIOR STRETCH  ISO.,"100""",,,,,,,,,,,,
,,,Deuteros 2,alfa,• BOX P.U 90 PIKE ISO.,"8''""",,,,,,,,,,,,,,Deuteros 2,delta,• SISSY SQ ASSISTED  EXC.,,10 • 12 • 14,,,,,,,,,,,,,Deuteros 2,alfa,• PL.UP RACK  EXC.,8 • 12,,,,,,,,,,,,,,Deuteros 1,omega,• FULL BRIDGE WALL WALK ,8,,,,,,,,,,,,,,Deuteros 2,delta,• NC  BENT   ISO.,"120""",,,,,,,,,,,,,,Deuteros 2,alfa,• REVERSE TO SQUAT  CON.,30,,,,,,,,,,,,
,,,Deuteros 2,alfa,• HSPU WIDE WALL  EXC.,2,,,,,,,,,,,,,,Deuteros 2,delta,• QC FULL ROM   ISO.,,"20"" • 30"" • 40""",,,,,,,,,,,,,Deuteros 2,alfa,• PL.UP MID  AUSTRALIAN ISO.,"30""",,,,,,,,,,,,,,Deuteros 2,alfa,• HT  CON.,20,,EMOM,,6´,,,,,,,,,,Deuteros 2,sigma,• HT L. ON BOX W   CON.,30,,,,,,,,,,,,,,Deuteros 2,delta,• QC FULL ROM   EXC.,40,,,,,,,,,,,,
,,,Deuteros 2,delta,• HSPU TO 90 TUCK  WALL  EXC.,2,,,,,,,,,,,,,,Deuteros 2,sigma,• PS PULSE W  CON.,,2 • 3 • 4,,,,,,,,,,,,,Deuteros 2,delta,• ARCHER PL.UP RACK CON.,8 • 12,,,,,,,,,,,,,,Deuteros 2,alfa,• DEADLIFT W   EXC.,12,,,,,,,,,,,,,,Deuteros 2,sigma,• HT RING OL  EXC.,30,,,,,,,,,,,,,,Deuteros 2,delta,• ASSISTED SPAGAT DELTA  ISO.,"100""",,,,,,,,,,,,
,,,Deuteros 2,delta,• HSPU WALL  CON.,4,,,,,,,,,,,,,,Deuteros 2,sigma,• PS TEMPO W  EXC.,,2 • 3 • 4,,,,,,,,,,,,,Deuteros 2,delta,• PL.UP BULGARIAN EXC.,8 • 12,,,,,,,,,,,,,,Deuteros 2,alfa,• SOLEO SQ   CON.,15,,,,,,,,,,,,,,Deuteros 2,sigma,• NC BENT  W   ISO.,"120""",,,,,,,,,,,,,,Deuteros 2,delta,• COSSACK SQUAT W  CON.,30,,,,,,,,,,,,
,,,Deuteros 2,delta,• HSPU 90 WALL  ISO.,"8''""",,,,,,,,,,,,,,Deuteros 2,omega,• SISSY SQ OL W  EXC.,,2 • 4 • 6,,,,,,,,,,,,,Deuteros 2,delta,• DF  O.L ISO.,"30""",,,,,,,,,,,,,,Deuteros 2,delta,• HT L. ON BOX   CON.,20,,,,,,,,,,,,,,Deuteros 2,omega,• OAC ASSISTED FINGERS,30,,,,,,,,,,,,,,Deuteros 2,sigma,• PLPU ADV TUCK SA TO SUPER ADV BA  CON.,20,,,,,,,,,,,,
,,,Deuteros 2,sigma,• HSPU TO 90 TUCK WALL  CON.,3,,,,,,,,,,,,,,Deuteros 2,omega,• STEP UP S JUMP   CON.,,2 • 4 • 6,,,,,,,,,,,,,Deuteros 2,sigma,• TTB ATW OA PIKE CON.,1 • 3,,,,,,,,,,,,,,Deuteros 2,delta,• DEADLIFT OL W   EXC.,12,,,,,,,,,,,,,,Deuteros 2,omega,• FL PRESS  FULL,30,,,,,,,,,,,,,,Deuteros 2,sigma,• ELBOW BRIDGE  ISO.,"120""",,,,,,,,,,,,
,,,Deuteros 2,sigma,• HSPU DEFICIT WALL  CON.,4,,,,,,,,,,,,,,Deuteros 2,omega,• GENTLEMAN TO PLEGADO,12,,,,,,,,,,,,,,Deuteros 2,sigma,• DP  STR EXC.,3 • 5,,,,,,,,,,,,,,Deuteros 2,delta,• CALF RISES O.L W  CON.,20,,,,,,,,,,,,,,Deuteros 2,omega,• ROW OA  DECLINED,"120""",,,,,,,,,,,,,,Deuteros 2,sigma,• P.U PELICAN INCLINED EXC.,30,,,,,,,,,,,,
,,,Deuteros 2,sigma,• HSPU TO 90 STR  FREE EXC.,2,,,,,,,,,,,,,,Epikos,alfa,• P.U SPARTAN KNEE CON.,100,,"I Go, You Go",,,,,,,,,,,,Deuteros 2,sigma,• INVERTED RING OA ASSISTED FULL ISO.,"10""",,,,,,,,,,,,,,Deuteros 2,sigma,• HSPU WALL  CON.,12,,,,,,,,,,,,,,Deuteros 2,omega,• GENTLEMAN TO PLEGADO,12,,,,,,,,,,,,,,Deuteros 2,omega,• DP SHUFFLE  JUMP ASIST CON.,40,,,,,,,,,,,,
,,,Deuteros 2,omega,• HSPU ARCHER WALL  CON.,4,,,,,,,,,,,,,,Epikos,alfa,• P.U DEEP ISO.,"pausa""",,,,,,,,,,,,,,Deuteros 2,omega,• TTB ATW OA SUPINE PIKE CON.,1 • 3,,,,,,,,,,,,,,Deuteros 2,sigma,• PIKE PRESS  P-BARS CON.,15,,,,,,,,,,,,,,Athlos,alfa,• BOAT STR,"30""",,Buy-in / Cash-out,,,,,,,,,,,,Deuteros 2,omega,• SPAGAT PIKE PIGEON STRETCH  ISO.,"100""",,,,,,,,,,,,
,,,Deuteros 2,omega,• HSPU TO 90 FULL FREE CON.,3,,,,,,,,,,,,,,Epikos,delta,• P.U   TYPEWRITER CON.,100,,,,,,,,,,,,,,Deuteros 2,omega,• ELBOW VICTORIAN  STR ISO.,"10""",,,,,,,,,,,,,,Deuteros 2,sigma,•  STR PHS WALL  EXC.,15,,,,,,,,,,,,,,Athlos,alfa,• PL.UP AUSTRALIAN,30,,,,,,,,,,,,,,Deuteros 2,omega,• PCK SIDE W   EXC.,30,,,,,,,,,,,,
,,,Deuteros 2,omega,• PLPU ASSISTED FULL EXC.,2,,,,,,,,,,,,,,Epikos,delta,• BA PL  TUCK ISO.,"pausa""",,,,,,,,,,,,,,Deuteros 2,omega,• INVERTED RING OA  FULL ISO.,"10""",,,,,,,,,,,,,,Deuteros 2,omega,• SISSY SQ OL ASIST EXC.,12,,,,,,,,,,,,,,Athlos,alfa,• DF  TUCK,20,,,,,,,,,,,,,,Epikos,alfa,• TRIPOD   ISO.,"200""",,"I Go, You Go",,,,,,,,,,
,,,Deuteros 2,omega,• BOX PIKE HANG ,"20""",,,,,,,,,,,,,,Epikos,sigma,• SISSY SQ   CON.,100,,,,,,,,,,,,,,Deuteros 2,omega,• DIAGONAL STRETCH  ,"20""",,,,,,,,,,,,,,Deuteros 2,omega,• PS PULSE W  CON.,12,,,,,,,,,,,,,,Athlos,alfa,• BOAT STR,"60""",,,,,,,,,,,,,,Epikos,delta,• WALL BACK HS   ISO.,"200""",,,,,,,,,,,,
,,,Epikos,alfa,• REVERSE TO SQUAT  PS  CON.,4,,EMOM,2,4´,,,,,,,,,,Epikos,sigma,• SISSY SQ    ISO.,"pausa""",,,,,,,,,,,,,,Epikos,alfa,• NC   ISO.,"20""",,Complex,2,,,,,,,,,,,Deuteros 2,omega,• SISSY SQ W   CON.,20,,,,,,,,,,,,,,Athlos,delta,• TTB V PIKE,"30""",,,,,,,,,,,,,,Epikos,sigma,• BL ADV TUCK SUPINE ISO.,"200""",,,,,,,,,,,,
,,,Epikos,alfa,• PS SHUFFLE WALL   CON.,6,,,,,,,,,,,,,,Epikos,omega,• DP SHUFFLE  JUMP  CON.,80,,,,,,,,,,,,,,Epikos,alfa,• HT  EXC.,12,,,,,,,,,,,,,,Deuteros 2,omega,• PANCAKE W ,"20""",,,,,,,,,,,,,,Athlos,delta,• DF O.L,30,,,,,,,,,,,,,,Epikos,omega,• NC FULL ROM W  ISO.,,,,,,,,,,,,,
,,,Epikos,delta,• REVERSE TO PS JUMP  CON.,4,,,,,,,,,,,,,,Epikos,omega,• SISSY SQ OL  ISO.,"pausa""",,,,,,,,,,,,,,Epikos,alfa,• SUMO SQ W  CON.,15,,,,,,,,,,,,,,Epikos,alfa,• SQ STEP UP   CON.,,2 • 4 • 6 • ...,Death By Unbroken,,6´,,,,,,,,,,Athlos,delta,• PL.UP ARCHER,20,,,,,,,,,,,,,,Epikos,omega,• NC BENT TO EXT W  CON.,60,,,,,,,,,,,,
,,,Epikos,delta,• CYCLIST PS  CON.,6,,,,,,,,,,,,,,,omega,• ARCHER COUCH STRETCH KNEE SPAGAT ,12,,,,,,,,,,,,,,Epikos,delta,• NC BENT FR  ISO.,"20""",,,,,,,,,,,,,,Epikos,delta,• LUNGE STEP UP W  CON.,,2 • 4 • 6 • ...,,,,,,,,,,,,,Athlos,delta,• TTB V PIKE,"60""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,Epikos,sigma,• HT EXP SHUFFLE   CON.,30,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,delta,• NC BENT   EXC.,12,,,,,,,,,,,,,,Epikos,sigma,• OAPUFINGER ASSISTED STRADDLE EXC.,,4 • 8 • 12 ...,,,,,,,,,,,,,Athlos,sigma,• NC  W  ISO.,"30""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,Epikos,sigma,• LUNGE JUMP SCISSOR   CON.,20,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,delta,• GM W  CON.,15,,,,,,,,,,,,,,Epikos,omega,• HT RING OL W  CON.,,4 • 8 • 12 ...,,,,,,,,,,,,,Athlos,sigma,• NC   EXC.,30,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,Epikos,omega,• V-SIT PRESS  CON.,20,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,sigma,• ROW A LA CINTURA  INCLINED ISO.,"20""",,,,,,,,,,,,,,Epikos,omega,• ARCHER COUCH STRETCH KNEE SPAGAT ,10,,,,,,,,,,,,,,Athlos,sigma,• DEADLIFT RAISED TOES OL  CON.,20,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,Epikos,omega,• DP  STR EXC.,20,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,sigma,• ROW OA HORIZONTAL EXC.,16,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Athlos,sigma,• NC  W  ISO.,"60""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,Epikos,omega,• GENTLEMAN TO PLEGADO,10,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,sigma,• ROW ARCHER HORIZONTAL CON.,12,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Athlos,omega,• PIKE PRESS P-BARS,"30""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,omega,• BL ADV TUCK SUPINE ISO.,"20""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Athlos,omega,• HSPU DEFICIT WALL ,30,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,omega,• BL STRADDLE PRONE EXC.,8,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Athlos,omega,•  PHS WALL ,20,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,omega,• BL ADV TUCK PRONE PULL UP CON.,10,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Athlos,omega,• PIKE PRESS P-BARS,"60""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,omega,• PCK AROUND THE WORLD ,8,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,Epikos,omega,• DIAGONAL STRETCH  ,"20""",,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,,,,,•,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TABLAS COMPLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LUNES,,,,,,,,,,,,,,,,,MARTES,,,,,,,,,,,,,,,,,MIERCOLES,,,,,,,,,,,,,,,,,JUEVES,,,,,,,,,,,,,,,,,VIERNES,,,,,,,,,,,,,,,,,SABADO,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bloque,Nivel,Ejercicio,Categoria,Esfuerzo,Esfuerzo Manual,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Carga,Obs,,Bloque,Nivel,Ejercicio,Categoria,Esfuerzo,Esfuerzo Manual,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Carga,Obs,,Bloque,Nivel,Ejercicio,Categoria,Esfuerzo,Esfuerzo Manual,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Carga,Obs,,Bloque,Nivel,Ejercicio,Categoria,Esfuerzo,Esfuerzo Manual,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Carga,Obs,,Bloque,Nivel,Ejercicio,Categoria,Esfuerzo,Esfuerzo Manual,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Carga,Obs,,Bloque,Nivel,Ejercicio,Categoria,Esfuerzo,Esfuerzo Manual,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Carga,Obs
,,,Initium,all,CRAB REACH  ,FLOW,,,,,,,,Tabata,4,"20""x10""",,,,Initium,all,MC CROSSED  ,CARDIO,,,,50,,,,Buy-in / Cash-out,,,,,,Initium,all,CRAB TOE TOUCH ,FLOW,,,,,,,,Interval Training,2,"30""x15""",,,,Initium,all,BEAST S TOUCH  ,FLOW,,,,40,,,,For Time,,,,,,Initium,all,SQ JACK  ,CARDIO,,,,,,,,Tabata,4,"20""x10""",,,,Initium,all,BEAST BIRD DOG ,FLOW,,,,,,,,Interval Training,3,"30""x15""",,
,,,Initium,all,BEAST WALK  ,FLOW,,,,,,,,,,,,,,Initium,all,FROGGER  ,FLOW,,,,20,,,,,,,,,,Initium,all,BUT KICKS ,CARDIO,,,,,,,,,,,,,,Initium,all,PLANK JACK  ,CARDIO,,,,20,,,,,,,,,,Initium,all,BURPEE TO LIZARD  ,CARDIO,,,,,,,,,,,,,,Initium,all,SCORPION REACH ,FLOW,,,,,,,,,,,,
,,,Nucleus,alfa,DF  FULL,,ISO.,,,,,6'',,,,,,,,Initium,all,LIZARD WALK ,FLOW,,,,20,,,,,,,,,,Initium,all,ABS  TUCK,CORE,,,,,,,,,,,,,,Initium,all,FROGGER  ,FLOW,,,,20,,,,,,,,,,Nucleus,alfa,PQ FULL ROM  ,,,EXC.,,10,1 - 2 - 3 - 2,,,Tempo Sets,,,,,,Initium,all,ELEPHANT WALK  ,FLOW,,,,,,,,,,,,
,,,Nucleus,alfa,ICM TUCK,,CON.,,,3,,,,,,,,,,Initium,all,MC CROSSED  ,CARDIO,,,,50,,,,,,,,,,Initium,all,SKIPPING  ,CARDIO,,,,,,,,,,,,,,Initium,all,MC CROSSED  ,CARDIO,,,,40,,,,,,,,,,Nucleus,alfa,PSU FULL ROM ,,,EXC.,,10,1 - 2 - 3 - 2,,,,,,,,,Nucleus,alfa,SCAPULA PRESS 1-1 L-SIT,PULL,CON.,CON.,8,12,,,,AMRAP,,10´,,
,,,Nucleus,alfa,FL PRESS  TUCK,,EXC.,,,2,,,,,,,,,,Nucleus,alfa,SQ STEP UP  ,,,CON.,,4,,,,Complex,2,,W,,,Nucleus,alfa,CROW S.A TO TUCK PL ,,CON.,,,6,,,,Cluster,,,,,,Nucleus,alfa,ROW OH INCLINED,PULL,CON.,,,,10 - 12 - 10,,,Pyramid,,,,,,Nucleus,delta,PSU FULL ROM W  ,,,EXC.,,10,1 - 2 - 3 - 2,,,,,,,,,Nucleus,alfa,JEFFERSON CURL ,MOVILIDAD,,ISO.,,,,30,,,,,,
,,,Nucleus,delta,FL  STR,,ISO.,,,,,3'',,,,,,,,Nucleus,alfa,PQ FULL ROM  ,,,EXC.,,4,,,,,,,,,,Nucleus,alfa,TUCK PL PARALELAS ,,ISO.,,,,,20,,,,,,,,Nucleus,alfa,ROW DECLINED,PULL,EXC.,,,,10 - 12 - 10,,,,,,,,,Nucleus,delta,SISSY SQ  ,LOWER,,EXC.,,5,1 - 2 - 3 - 2,,,,,,,,,Nucleus,alfa,ELEPHANT WALK ,FLOW,,CON.,8,12,,,,,,,,
,,,Nucleus,delta,ICM FULL,,CON.,,,3,,,,,,,,,,Nucleus,alfa,PSU FULL ROM ,,,ISO.,,,,6,,,,,,,,Nucleus,delta,PLPU ADV TUCK,,CON.,,,6,,,,,,,,,,Nucleus,alfa,BOAT STR,PULL,ISO.,,,,"20"" - 30"" - 20""",,,,,,,,,Nucleus,sigma,MUSCLE UP  RINGS,PULL,EXC.,,,20,2 - 1 - 3 - 1,,,,,,,,,Nucleus,delta,L-SIT  ,PULL,ISO.,ISO.,,,,20,,,,,,
,,,Nucleus,delta,FL PRESS STRADDLE,,EXC.,,,2,,,,,,,,,,Nucleus,delta,LUNGE STEP UP W ,,,CON.,,4,,,,,,,,,,Nucleus,delta,MALTESE TUCK PL ,,ISO.,,,,,20,,,,,,,,Nucleus,delta,ELBOW VICTORIAN  TUCK,PULL,CON.,,,,10 - 12 - 10,,,,,,,,,Nucleus,sigma,ROW FRONT PIKE,PULL,CON.,,,10,3 - 1 - 2 - 1,,,,,,,,,Nucleus,delta,GENTLEMAN TO PLEGADO,MOVILIDAD,,CON.,12,16,,,,,,,,
,,,Nucleus,sigma,ELBOW VICTORIAN  SUPER ADV,,ISO.,,,,,6'',,,,,,,,Nucleus,delta,STEP UP SIDE W ,,,EXC.,,4,,,,,,,,,,Nucleus,sigma,SHRIMP SQUAT W ,LOWER,,EXC.,,20,,,,,,,,,,Nucleus,delta,ROW OA HORIZONTAL,PULL,EXC.,,,,10 - 12 - 10,,,,,,,,,Nucleus,sigma,PL.UP L-SIT ARCHER ,PULL,CON.,,,10,3 - 1 - 2 - 1,,,,,,,,,Nucleus,delta,ELEPHANT WALK  ,FLOW,,CON.,20,30,,,,,,,,
,,,Nucleus,sigma,FL PRESS  FULL,,EXC.,,,2,,,,,,,,,,Nucleus,delta,PSU FULL ROM W  ,,,ISO.,,,,6,,,,,,,,Nucleus,sigma,LUNGE JUMP SCISSOR  ,LOWER,,CON.,,30,,,,,,,,,,Nucleus,delta,PL.UP TOP L-SIT,PULL,ISO.,,,,"20"" - 30"" - 20""",,,,,,,,,Nucleus,omega,ELBOW VICTORIAN  STR,PULL,CON.,,,15,2 - 1 - 3 - 1,,,,,,,,,Nucleus,sigma,SISSY SQ  ,LOWER,,EXC.,8,12,,,,,,,,
,,,Nucleus,sigma,DP  SUPER ADV,,CON.,,,3,,,,,,,,,,Nucleus,sigma,HSPU TO 90 STR  FREE,,EXC.,EXC.,,4,,,,,,,,,,Nucleus,sigma,PSU FULL ROM W  ,LOWER,,ISO.,,,,60,,,,,,,,Nucleus,sigma,SISSY SQ OL ,LOWER,,EXC.,,,2 - 4 - 2,,,,,,,,,Nucleus,omega,ROW FRONT  STRADDLE,PULL,CON.,,,15,3 - 1 - 2 - 1,,,,,,,,,Nucleus,sigma,WARRIOR SPAGAT STRETCH ,MOVILIDAD,,ISO.,,,,30,,,,,,
,,,Nucleus,omega,FL WIDE PRESS FULL,,EXC.,,,3,,,,,,,,,,Nucleus,sigma,PIKE PRESS P-BARS,PUSH,ISO.,ISO.,,,,10,,,,,,,,Nucleus,omega,PLPU CASETA,PUSH,EXC.,,,30,,,,,,,,,,Nucleus,sigma,PS TEMPO W ,LOWER,,CON.,,,2 - 4 - 2,,,,,,,,,Nucleus,omega,ROW OA DECLINED,PULL,CON.,,,20,3 - 1 - 2 - 1,,,,,,,,,Nucleus,sigma,GOOSE WALK  ,FLOW,,CON.,20,30,,,,,,,,
,,,Nucleus,omega,ELBOW VICTORIAN  FULL,,CON.,,,2,,,,,,,,,,Nucleus,omega,SISSY SQ OL ASIST,LOWER,,EXC.,,12,,,,,,,,,,Nucleus,omega,SWING TO SUPER ADV PL  ,PUSH,CON.,,,40,,,,,,,,,,Nucleus,sigma,SISSY SQ OL ASIST,LOWER,,ISO.,,,"6"" - 8"" - 6""",,,,,,,,,Nucleus,omega,COUCH STRETCH ,MOVILIDAD,,,,,,20,,,,,,,,Nucleus,omega,PS W ISO ,LOWER,,ISO.,,,,20,,,,,,
,,,Nucleus,omega,FL WIDE FULL,,ISO.,,,,,6'',,,,,,,,Nucleus,omega,PS TEMPO W ,LOWER,,EXC.,,12,,,,,,,,,,Nucleus,omega,SUPER ADV PL  ,PUSH,ISO.,,,,,100,,,,,,,,Nucleus,omega,HT SLIDE OL RING ,LOWER,,EXC.,,,2 - 4 - 2,,,,,,,,,Deuteros 1,alfa,NEUTRAL DIP RINGS,PUSH,EXC.,,,10,,,,Cluster,,,,,,Nucleus,omega,SPAGAT STRENGTH  ,MOVILIDAD,,ISO.,,,,20,,,,,,
,,,Nucleus,omega,DIAGONAL STRETCH  ,MOVILIDAD,,,,,,20,,,,,,,,Nucleus,omega,NC OL  ,LOWER,,ISO.,,,,30,,,,,,,,Nucleus,omega,SKIN THE CAT,PUSH,,,,8,,,,,,,,,,Nucleus,omega,HT EXP OL ,LOWER,,CON.,,,2 - 4 - 2,,,,,,,,,Deuteros 1,alfa,PL LEAN ,,ISO.,,,,,20,,,,,,,,Nucleus,omega,COSSACK WALK W ,FLOW,,CON.,20,24,,,,,,,,
