,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deuteros 2,HSPU,Handstand Push Up 95%,95%,,Deuteros 2,DS,Dragon Squat 65%,65%,,Deuteros 2,HSPU,Handstand Push Up 95%,95%,,,,Deuteros 2,SS,Sissy Squat 65%,65%,,Deuteros 2,PS,Pistol Squat 95%,95%,,Deuteros 2,SU,Step Up 95%,95%,,,,Deuteros 2,OAP,One Arm Pull Up 65%,65%,,Deuteros 2,TTB,Toe to Bar 95%,95%,,Deuteros 2,TTB,Toe to Bar 95%,95%,,,,Deuteros 2,HT,Hip Thrust 65%,65%,,Deuteros 2,PHS,Press Handstand 65%,65%,,Deuteros 2,SS,Sissy Squat 65%,65%,,,,Deuteros 2,HT,Hip Thrust 65%,65%,,Deuteros 2,HT,Hip Thrust 65%,65%,,Deuteros 2,OAPU,One Arm Push Up 65%,65%,,,,Deuteros 2,QC,Quad Curl 65%,65%,,Deuteros 2,PLPU,Planche Push Up 65%,65%,,Deuteros 2,DS,Dragon Squat 65%,65%,,
,,,Athlos/Epikos,PS,Pistol Squat 95%,95%,,Athlos/Epikos,HT,Hip Thrust 65%,65%,,Athlos/Epikos,MN/RP,Manna / Reverse Planche 65%,65%,,,,Athlos/Epikos,OAPU,One Arm Push Up 65%,65%,,Athlos/Epikos,SS,Sissy Squat 65%,65%,,Athlos/Epikos,L,Lunge 75%,75%,,,,Athlos/Epikos,NC,Nordic Curl 75%,75%,,Athlos/Epikos,OAR,One Arm Row 65%,65%,,Athlos/Epikos,BL,Back Lever 65%,65%,,,,Athlos/Epikos,SU,Step Up 95%,95%,,Athlos/Epikos,OAPU,One Arm Push Up 65%,65%,,Athlos/Epikos,HT,Hip Thrust 65%,65%,,,,Athlos/Epikos,OAP,One Arm Pull Up 65%,65%,,Athlos/Epikos,NC,Nordic Curl 75%,75%,,Athlos/Epikos,HS,Handstand 65%,65%,,,,Athlos/Epikos,HS,Handstand 65%,65%,,Athlos/Epikos,BL,Back Lever 65%,65%,,Athlos/Epikos,NC,Nordic Curl 75%,75%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bloque,Nivel,Ejercicio,Reps / Duración,Escalera,Formato,Formato Vueltas,Formato Duración,Obs,,,,,,,,,Bloque,Nivel,Ejercicio,Reps / Duración,Escalera,Formato,Formato Vueltas,Formato Duración,Obs,,,,,,,,,Bloque,Nivel,Ejercicio,Reps / Duración,Escalera,Formato,Formato Vueltas,Formato Duración,Obs,,,,,,,,,Bloque,Nivel,Ejercicio,Reps / Duración,Escalera,Formato,Formato Vueltas,Formato Duración,Obs,,,,,,,,,Bloque,Nivel,Ejercicio,Reps / Duración,Escalera,Formato,Formato Vueltas,Formato Duración,Obs,,,,,,,,,Bloque,Nivel,Ejercicio,Reps / Duración,Escalera,Formato,Formato Vueltas,Formato Duración,Obs,,,,,,,
,,,Initium,all,• CRAB REACH  ,,,Tabata,4,"20""x10""",,,,,,,,,,Initium,all,• MC CROSSED  ,50,,Buy-in / Cash-out,,,,,,,,,,,,Initium,all,• CRAB TOE TOUCH ,,,Interval Training,2,"30""x15""",,,,,,,,,,Initium,all,• BEAST S TOUCH  ,40,,For Time,,,,,,,,,,,,Initium,all,• SQ JACK  ,,,Tabata,4,"20""x10""",,,,,,,,,,Initium,all,• BEAST BIRD DOG ,,,Interval Training,3,"30""x15""",,,,,,,,
,,,Initium,all,• BEAST WALK  ,,,,,,,,,,,,,,,Initium,all,• FROGGER  ,20,,,,,,,,,,,,,,Initium,all,• BUT KICKS ,,,,,,,,,,,,,,,Initium,all,• PLANK JACK  ,20,,,,,,,,,,,,,,Initium,all,• BURPEE TO LIZARD  ,,,,,,,,,,,,,,,Initium,all,• SCORPION REACH ,,,,,,,,,,,,,
,,,Nucleus,alfa,• DF  FULL ISO.,"6''""",,,,,,,,,,,,,,Initium,all,• LIZARD WALK ,20,,,,,,,,,,,,,,Initium,all,• ABS  TUCK,,,,,,,,,,,,,,,Initium,all,• FROGGER  ,20,,,,,,,,,,,,,,Nucleus,alfa,• PQ FULL ROM   EXC.,10,1 • 2 • 3 • 2,Tempo Sets,,,,,,,,,,,,Initium,all,• ELEPHANT WALK  ,,,,,,,,,,,,,
,,,Nucleus,alfa,• ICM TUCK CON.,3,,,,,,,,,,,,,,Initium,all,• MC CROSSED  ,50,,,,,,,,,,,,,,Initium,all,• SKIPPING  ,,,,,,,,,,,,,,,Initium,all,• MC CROSSED  ,40,,,,,,,,,,,,,,Nucleus,alfa,• PSU FULL ROM  EXC.,10,1 • 2 • 3 • 2,,,,,,,,,,,,,Nucleus,alfa,• SCAPULA PRESS 1-1 L-SIT CON.,8 • 12,,AMRAP,,10´,,,,,,,,
,,,Nucleus,alfa,• FL PRESS  TUCK EXC.,2,,,,,,,,,,,,,,Nucleus,alfa,• SQ STEP UP   W CON.,4,,Complex,2,,,,,,,,,,,Nucleus,alfa,• CROW S.A TO TUCK PL  CON.,6,,Cluster,,,,,,,,,,,,Nucleus,alfa,• ROW OH INCLINED CON.,,10 • 12 • 10,Pyramid,,,,,,,,,,,,Nucleus,delta,• PSU FULL ROM W   EXC.,10,1 • 2 • 3 • 2,,,,,,,,,,,,,Nucleus,alfa,• JEFFERSON CURL  ISO.,"30""",,,,,,,,,,,,
,,,Nucleus,delta,• FL  STR ISO.,"3''""",,,,,,,,,,,,,,Nucleus,alfa,• PQ FULL ROM   EXC.,4,,,,,,,,,,,,,,Nucleus,alfa,• TUCK PL PARALELAS  ISO.,"20""",,,,,,,,,,,,,,Nucleus,alfa,• ROW DECLINED EXC.,,10 • 12 • 10,,,,,,,,,,,,,Nucleus,delta,• SISSY SQ   EXC.,5,1 • 2 • 3 • 2,,,,,,,,,,,,,Nucleus,alfa,• ELEPHANT WALK  CON.,8 • 12,,,,,,,,,,,,
