Semana,Mes,Ruta,Intensidad,Onda,Patron Activo,Patron Activo 2,Categoría
34,9,FL,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
35,9,FL,75,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
36,9,FL,80,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
37,10,FL,65,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
38,10,FL,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
39,10,FL,75,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
40,10,FL,80,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
41,11,FL,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
42,11,FL,75,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
43,11,FL,65,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
44,11,FL,80,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
45,12,FL,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
46,12,FL,75,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
47,12,FL,65,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
48,12,FL,80,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
49,13,FL,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
50,13,FL,75,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
51,13,FL,65,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
52,13,FL,80,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
1,1,TTB,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
2,1,TTB,75,🌊 Senoidal,Pull Vertical,PULL VERTICAL,SUP PULL
3,1,TTB,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
4,1,TTB,80,🌊 Senoidal,Pull Vertical (SA),PULL VERTICAL,SUP PULL
5,2,TTB,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
6,2,TTB,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
7,2,TTB,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
8,2,TTB,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
9,3,TTB,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
10,3,TTB,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
11,3,TTB,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
12,3,TTB,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
13,4,TTB,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
14,4,TTB,60,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
15,4,TTB,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
16,4,TTB,60,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
17,5,TTB,55,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
18,5,TTB,85,⚡ Shockwave,Pull Vertical (SA),PULL VERTICAL,SUP PULL
19,5,TTB,95,⚡ Shockwave,TTB específico,TTB,SUP PULL
20,5,TTB,70,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
21,6,TTB,75,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
22,6,TTB,85,⚡ Shockwave,Pull Vertical (SA),PULL VERTICAL,SUP PULL
23,6,TTB,95,⚡ Shockwave,TTB específico,TTB,SUP PULL
24,6,TTB,70,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
25,7,TTB,75,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
26,7,TTB,85,⚡ Shockwave,Pull Vertical (SA),PULL VERTICAL,SUP PULL
27,7,TTB,95,📐 Triangular,TTB específico,TTB,SUP PULL
28,7,TTB,70,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
29,8,TTB,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
30,8,TTB,85,📐 Triangular,Pull Vertical (SA),PULL VERTICAL,SUP PULL
31,8,TTB,95,📐 Triangular,TTB específico,TTB,SUP PULL
32,8,TTB,80,📐 Triangular,Pull Vertical (SA),PULL VERTICAL,SUP PULL
33,9,TTB,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
34,9,TTB,70,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
35,9,TTB,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
36,9,TTB,80,📐 Triangular,Pull Vertical (SA),PULL VERTICAL,SUP PULL
37,10,TTB,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
38,10,TTB,70,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
39,10,TTB,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
40,10,TTB,80,🔄 Fractal,Pull Vertical (SA),PULL VERTICAL,SUP PULL
41,11,TTB,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
42,11,TTB,70,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
43,11,TTB,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
44,11,TTB,80,🔄 Fractal,Pull Vertical (SA),PULL VERTICAL,SUP PULL
45,12,TTB,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
46,12,TTB,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
47,12,TTB,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
48,12,TTB,80,🔄 Fractal,Pull Vertical (SA),PULL VERTICAL,SUP PULL
49,13,TTB,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
50,13,TTB,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
51,13,TTB,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
52,13,TTB,80,🔄 Fractal,Pull Vertical (SA),PULL VERTICAL,SUP PULL
1,1,OAR,60,🌊 Senoidal,Pull Horizontal (BA),PULL,SUP PULL
2,1,OAR,75,🌊 Senoidal,Pull Vertical,PULL VERTICAL,SUP PULL
3,1,OAR,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
4,1,OAR,80,🌊 Senoidal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
5,2,OAR,60,🌊 Senoidal,Pull Horizontal (BA),PULL,SUP PULL
6,2,OAR,75,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
7,2,OAR,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
8,2,OAR,80,🌊 Senoidal,Pull Horizontal (BA),PULL,SUP PULL
9,3,OAR,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
10,3,OAR,60,🌊 Senoidal,Pull Horizontal (BA),PULL,SUP PULL
11,3,OAR,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
12,3,OAR,60,🌊 Senoidal,Pull Horizontal (BA),PULL,SUP PULL
13,4,OAR,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
14,4,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL,SUP PULL
15,4,OAR,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
16,4,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL,SUP PULL
17,5,OAR,55,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
18,5,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
19,5,OAR,65,⚡ Shockwave,TTB específico,TTB,SUP PULL
20,5,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
21,6,OAR,55,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
22,6,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
23,6,OAR,65,⚡ Shockwave,TTB específico,TTB,SUP PULL
24,6,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
25,7,OAR,55,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
26,7,OAR,60,⚡ Shockwave,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
27,7,OAR,65,📐 Triangular,TTB específico,TTB,SUP PULL
28,7,OAR,70,📐 Triangular,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
29,8,OAR,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
30,8,OAR,85,📐 Triangular,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
31,8,OAR,95,📐 Triangular,TTB específico,TTB,SUP PULL
32,8,OAR,70,📐 Triangular,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
33,9,OAR,75,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
34,9,OAR,85,📐 Triangular,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
35,9,OAR,95,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
36,9,OAR,70,📐 Triangular,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
37,10,OAR,75,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
38,10,OAR,85,📐 Triangular,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
39,10,OAR,95,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
40,10,OAR,70,🔄 Fractal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
41,11,OAR,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
42,11,OAR,70,🔄 Fractal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
43,11,OAR,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
44,11,OAR,80,🔄 Fractal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
45,12,OAR,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
46,12,OAR,70,🔄 Fractal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
47,12,OAR,75,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
48,12,OAR,80,🔄 Fractal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
49,13,OAR,60,🔄 Fractal,Pull Horizontal (BA),PULL,SUP PULL
50,13,OAR,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
51,13,OAR,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
52,13,OAR,80,🔄 Fractal,Pull Horizontal (BA),PULL VERTICAL,SUP PULL
1,1,FLR,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
2,1,FLR,75,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
3,1,FLR,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
4,1,FLR,80,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
5,2,FLR,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
6,2,FLR,75,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
7,2,FLR,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
8,2,FLR,80,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
9,3,FLR,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
10,3,FLR,75,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
11,3,FLR,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
12,3,FLR,80,🔄 Fractal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
13,4,FLR,55,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
14,4,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
15,4,FLR,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
16,4,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
17,5,FLR,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
18,5,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
19,5,FLR,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
20,5,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
21,6,FLR,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
22,6,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
23,6,FLR,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
24,6,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
25,7,FLR,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
26,7,FLR,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
27,7,FLR,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
28,7,FLR,70,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
29,8,FLR,75,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
30,8,FLR,85,⚡ Shockwave,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
31,8,FLR,95,⚡ Shockwave,FLR,FLR,SUP PULL
32,8,FLR,70,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
33,9,FLR,75,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
34,9,FLR,85,⚡ Shockwave,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
35,9,FLR,95,⚡ Shockwave,FLR,FLR,SUP PULL
36,9,FLR,70,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
37,10,FLR,75,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
38,10,FLR,85,⚡ Shockwave,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
39,10,FLR,95,⚡ Shockwave,FLR,FLR,SUP PULL
40,10,FLR,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
41,11,FLR,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
42,11,FLR,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
43,11,FLR,75,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
44,11,FLR,80,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
45,12,FLR,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
46,12,FLR,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
47,12,FLR,75,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
48,12,FLR,80,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
49,13,FLR,60,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
50,13,FLR,75,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
51,13,FLR,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
52,13,FLR,80,📐 Triangular,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
1,1,OAP,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
2,1,OAP,70,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
3,1,OAP,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
4,1,OAP,80,🔄 Fractal,Pull Vertical (BA),PULL VERTICAL,SUP PULL
5,2,OAP,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
6,2,OAP,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
7,2,OAP,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
8,2,OAP,80,🔄 Fractal,Pull Vertical (BA),PULL VERTICAL,SUP PULL
9,3,OAP,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
10,3,OAP,75,🔄 Fractal,Pull Vertical,PULL VERTICAL,SUP PULL
11,3,OAP,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
12,3,OAP,80,🔄 Fractal,Pull Vertical (BA),PULL VERTICAL,SUP PULL
13,4,OAP,60,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
14,4,OAP,75,🌊 Senoidal,Pull Vertical,PULL VERTICAL,SUP PULL
15,4,OAP,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
16,4,OAP,80,🌊 Senoidal,Pull Vertical (BA),PULL VERTICAL,SUP PULL
17,5,OAP,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
18,5,OAP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
19,5,OAP,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
20,5,OAP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
21,6,OAP,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
22,6,OAP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
23,6,OAP,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
24,6,OAP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
25,7,OAP,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
26,7,OAP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
27,7,OAP,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
28,7,OAP,70,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
29,8,OAP,85,⚡ Shockwave,Pull Vertical (BA),PULL VERTICAL,SUP PULL
30,8,OAP,95,⚡ Shockwave,OAP específico,OAP,SUP PULL
31,8,OAP,95,⚡ Shockwave,OAP específico,OAP,SUP PULL
32,8,OAP,70,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
33,9,OAP,75,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
34,9,OAP,85,⚡ Shockwave,Pull Vertical (BA),PULL VERTICAL,SUP PULL
35,9,OAP,95,⚡ Shockwave,OAP específico,OAP,SUP PULL
36,9,OAP,70,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
37,10,OAP,75,⚡ Shockwave,Pull Vertical,PULL VERTICAL,SUP PULL
38,10,OAP,85,⚡ Shockwave,Pull Vertical (BA),PULL VERTICAL,SUP PULL
39,10,OAP,95,⚡ Shockwave,OAP específico,OAP,SUP PULL
40,10,OAP,70,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
41,11,OAP,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
42,11,OAP,85,📐 Triangular,Pull Vertical (BA),PULL VERTICAL,SUP PULL
43,11,OAP,95,📐 Triangular,OAP específico,OAP,SUP PULL
44,11,OAP,80,📐 Triangular,Pull Vertical (BA),PULL VERTICAL,SUP PULL
45,12,OAP,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
46,12,OAP,70,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
47,12,OAP,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
48,12,OAP,80,📐 Triangular,Pull Vertical (BA),PULL VERTICAL,SUP PULL
49,13,OAP,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
50,13,OAP,70,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
51,13,OAP,75,📐 Triangular,Pull Vertical,PULL VERTICAL,SUP PULL
52,13,OAP,80,📐 Triangular,Pull Vertical (BA),PULL VERTICAL,SUP PULL
1,1,MN/RP,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
2,1,MN/RP,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
3,1,MN/RP,75,📐 Triangular,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
4,1,MN/RP,80,📐 Triangular,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
5,2,MN/RP,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
6,2,MN/RP,70,📐 Triangular,Pull Horizontal,PULL HORIZONTAL,SUP PULL
7,2,MN/RP,75,📐 Triangular,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
8,2,MN/RP,80,📐 Triangular,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
9,3,MN/RP,60,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
10,3,MN/RP,75,📐 Triangular,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
11,3,MN/RP,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
12,3,MN/RP,80,📐 Triangular,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
13,4,MN/RP,60,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
14,4,MN/RP,75,🌊 Senoidal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
15,4,MN/RP,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
16,4,MN/RP,80,🌊 Senoidal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
17,5,MN/RP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
18,5,MN/RP,75,🌊 Senoidal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
19,5,MN/RP,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
20,5,MN/RP,80,🌊 Senoidal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
21,6,MN/RP,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
22,6,MN/RP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
23,6,MN/RP,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
24,6,MN/RP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
25,7,MN/RP,55,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
26,7,MN/RP,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
27,7,MN/RP,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
28,7,MN/RP,70,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
29,8,MN/RP,85,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
30,8,MN/RP,95,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
31,8,MN/RP,95,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
32,8,MN/RP,70,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
33,9,MN/RP,75,⚡ Shockwave,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
34,9,MN/RP,85,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
35,9,MN/RP,95,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
36,9,MN/RP,70,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
37,10,MN/RP,75,⚡ Shockwave,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
38,10,MN/RP,85,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
39,10,MN/RP,95,⚡ Shockwave,MN/RP específico,MN/RP,SUP PULL
40,10,MN/RP,70,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
41,11,MN/RP,75,🔄 Fractal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
42,11,MN/RP,85,🔄 Fractal,MN/RP específico,MN/RP,SUP PULL
43,11,MN/RP,95,🔄 Fractal,MN/RP específico,MN/RP,SUP PULL
44,11,MN/RP,80,🔄 Fractal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
45,12,MN/RP,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
46,12,MN/RP,70,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
47,12,MN/RP,75,🔄 Fractal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
48,12,MN/RP,80,🔄 Fractal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
49,13,MN/RP,65,🔄 Fractal,General Pull (horizontal + vertical),PULL,SUP PULL
50,13,MN/RP,70,🔄 Fractal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
51,13,MN/RP,75,🔄 Fractal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
52,13,MN/RP,80,🔄 Fractal,Pull Horizontal (SA),PULL HORIZONTAL,SUP PULL
1,1,MU,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
2,1,MU,70,🌊 Senoidal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
3,1,MU,75,🌊 Senoidal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
4,1,MU,80,🌊 Senoidal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
5,2,MU,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
6,2,MU,70,🌊 Senoidal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
7,2,MU,75,🌊 Senoidal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
8,2,MU,80,🌊 Senoidal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
9,3,MU,65,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
10,3,MU,70,🌊 Senoidal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
11,3,MU,75,🌊 Senoidal,Pull Horizontal,PULL HORIZONTAL,SUP PULL
12,3,MU,80,🌊 Senoidal,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
13,4,MU,60,🌊 Senoidal,General Pull (horizontal + vertical),PULL,SUP PULL
14,4,MU,75,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
15,4,MU,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
16,4,MU,80,⚡ Shockwave,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
17,5,MU,60,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
18,5,MU,75,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
19,5,MU,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
20,5,MU,80,⚡ Shockwave,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
21,6,MU,60,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
22,6,MU,75,⚡ Shockwave,Pull Horizontal,PULL HORIZONTAL,SUP PULL
23,6,MU,65,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
24,6,MU,80,⚡ Shockwave,Pull Horizontal (BA),PULL HORIZONTAL,SUP PULL
25,7,MU,55,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
26,7,MU,60,⚡ Shockwave,General Pull (horizontal + vertical),PULL,SUP PULL
27,7,MU,65,📐 Triangular,General Pull (horizontal + vertical),PULL,SUP PULL
