PATRON PRINCIPAL,CATEGORIA PRINCIPAL,CATEGORIA SECUNDARIA,Ejercicio,Ejercicio 2,Posicion,Esfuerzo,Nivel,Código Numérico,Dificultad Relativa,Ruta,Movilidad Relacionada A
LOWER,KNEE DOMINANT,QUADS,QC PARCIAL W ,QC PARCIAL W,,,alfa,1,3,QC,
LOWER,KNEE DOMINANT,QUADS,QC  ,QC ,,ISO.,alfa,1,3,QC,
LOWER,KNEE DOMINANT,QUADS,TIBIALES PARED ,TIBIALES PARED,,,delta,2,1,QC,
LOWER,KNEE DOMINANT,QUADS,SEIZA TO SQ ,SEIZA TO SQ,,,delta,2,1,QC,
LOWER,KNEE DOMINANT,QUADS,QUAD BOX  ,QUAD BOX ,,,delta,2,1,QC,
LOWER,KNEE DOMINANT,QUADS,QC   ,QC  ,,EXC.,delta,2,1,QC,
LOWER,KNEE DOMINANT,QUADS,QC   ,QC  ,,CON.,delta,2,1,QC,
LOWER,KNEE DOMINANT,QUADS,QC  W  ,QC  W ,,EXC.,delta,2,2,QC,
LOWER,KNEE DOMINANT,QUADS,QC FULL ROM  ,QC FULL ROM ,,,delta,2,2,QC,
LOWER,KNEE DOMINANT,QUADS,QC FULL ROM W ,QC FULL ROM W,,,delta,2,3,QC,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ PARCIAL  ,HINDU SQ PARCIAL ,,,alfa,1,1,SS,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ ASSISTED  ,HINDU SQ ASSISTED ,,,alfa,1,1,SS,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ  ,HINDU SQ ,,ISO.,alfa,1,2,SS,
LOWER,KNEE DOMINANT,QUADS,SOLEO SQ  ,SOLEO SQ ,,,alfa,1,2,SS,
LOWER,KNEE DOMINANT,QUADS,APE REACH ASSISTED ,APE REACH ASSISTED,,,alfa,1,3,SS,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ FULL ROM  ,HINDU SQ FULL ROM ,,,alfa,1,3,SS,
LOWER,KNEE DOMINANT,QUADS,CRAB SISSY  ,CRAB SISSY ,,,alfa,1,3,SS,
LOWER,KNEE DOMINANT,QUADS,APE REACH  ,APE REACH ,,,delta,2,1,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ PARCIAL ASSISTED ,SISSY SQ PARCIAL ASSISTED,,,delta,2,1,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ PARCIAL  ,SISSY SQ PARCIAL ,,,delta,2,2,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ ASSISTED ,SISSY SQ ASSISTED,,,delta,2,2,SS,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ + APE REACH  ,HINDU SQ + APE REACH ,,,delta,2,2,SS,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ + APE REACH W ,HINDU SQ + APE REACH W,,,delta,2,3,SS,
LOWER,KNEE DOMINANT,QUADS,HINDU SQ W  ,HINDU SQ W ,,,delta,2,3,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ  ,SISSY SQ ,,EXC.,sigma,3,1,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ  ,SISSY SQ ,,ISO.,sigma,3,1,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ   ,SISSY SQ  ,,CON.,sigma,3,1,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ W  ,SISSY SQ W ,,,sigma,3,2,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ W  ,SISSY SQ W ,,ISO.,sigma,3,2,SS,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ OL ASIST,SISSY SQ OL ASSISTED,,,omega,4,1,,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ OL ,SISSY SQ OL ,,,omega,4,1,,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ OL ISO ,SISSY SQ OL  ,,ISO.,omega,4,2,,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ OL ISO W ,SISSY SQ OL  W ,,ISO.,omega,4,2,,
LOWER,KNEE DOMINANT,QUADS,SISSY SQ OL W ,SISSY SQ OL W ,,,spartan,5,1,,
LOWER,HIP DOMINANT,ISQUIOS,HT ON BOX  ,HT ON BOX ,,,alfa,1,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ON BOX   ,HT ON BOX  ,,ISO.,alfa,1,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ON BOX W ,HT ON BOX W,,,alfa,1,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ON BOX OL   ,HT ON BOX OL  ,,ISO.,alfa,1,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ON BOX OL  ,HT ON BOX OL ,,,alfa,1,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ON BOX OL W ,HT ON BOX OL W,,,alfa,1,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ,HT,,ISO.,alfa,1,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT ,HT,,CON.,alfa,1,3,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT W  ,HT W ,,CON.,delta,2,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT KICK  ,HT KICK ,,,delta,2,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT REACH  ,HT REACH ,,,delta,2,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT L. ON BOX  ,HT L. ON BOX ,,ISO.,delta,2,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT REACH ON RINGS ,HT REACH ON RINGS,,,delta,2,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT L. ON BOX  ,HT L. ON BOX ,,,delta,2,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT WALK TO BRIDGE  ,HT WALK TO BRIDGE ,,,delta,2,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT WALK TO BOX  ,HT WALK TO BOX ,,,delta,2,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT L. ON BOX OL  ,HT L. ON BOX OL ,,,delta,2,3,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT L. ON BOX W  ,HT L. ON BOX W ,,,sigma,3,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE  ,LOW BRIDGE ,,ISO.,sigma,3,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE ,LOW BRIDGE,,,sigma,3,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT EXP SHUFFLE  ,HT EXP SHUFFLE ,,,sigma,3,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT OL EXP ,HT OL EXP,,,sigma,3,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT L. ON BOX OL W ,HT L. ON BOX OL W,,,sigma,3,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE OL   ,LOW BRIDGE OL  ,,ISO.,sigma,3,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE OL  ,LOW BRIDGE OL ,,,sigma,3,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE W ,LOW BRIDGE W ,,,sigma,3,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE OL W,LOW BRIDGE OL W,,,omega,4,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE SIDE KICK ,LOW BRIDGE SIDE KICK ,,,omega,4,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE SIDE KICK W ,LOW BRIDGE SIDE KICK,,,omega,4,2,HT,
LOWER,HIP DOMINANT,ISQUIOS,LOW BRIDGE KNEE TO CHEST ,LOW BRIDGE KNEE TO CHEST ,,,omega,4,1,HT,
LOWER,HIP DOMINANT,ISQUIOS,HT SLIDE RING W ,HT SLIDE RING W ,,,omega,4,1,HT,
LOWER,KNEE DOMINANT,GLUTES,LS PARCIAL ASSISTED  ,LS PARCIAL ASSISTED ,,,alfa,1,1,L,
LOWER,KNEE DOMINANT,GLUTES,BACK LS ASSISTED ,BACK LS ASSISTED,,,alfa,1,1,L,
LOWER,KNEE DOMINANT,GLUTES,LS PARCIAL  ,LS PARCIAL ,,,alfa,1,1,L,
LOWER,KNEE DOMINANT,GLUTES,BACK LS   ,BACK LS  ,,,alfa,1,1,L,
LOWER,KNEE DOMINANT,GLUTES,LUNGE  ,LUNGE ,,ISO.,alfa,1,2,L,
LOWER,KNEE DOMINANT,GLUTES,LUNGE FULL ROM  ,LUNGE FULL ROM ,,,alfa,1,3,L,
LOWER,KNEE DOMINANT,GLUTES,LS SHUFFLE  ,LS SHUFFLE ,,,alfa,1,3,L,
LOWER,KNEE DOMINANT,GLUTES,LS SHUFFLE W  ,LS SHUFFLE W ,,,delta,2,1,L,
LOWER,KNEE DOMINANT,GLUTES,DEEP LS  ,DEEP LS ,,,delta,2,1,L,
LOWER,KNEE DOMINANT,GLUTES,DEEP LS   ,DEEP LS  ,,ISO.,delta,2,1,L,
LOWER,KNEE DOMINANT,GLUTES,BULGARIAN LUNGE ASSISTED  ,BULGARIAN LUNGE ASSISTED ,,,delta,2,1,L,
LOWER,KNEE DOMINANT,GLUTES,LUNGE JUMP  ,LUNGE JUMP ,,,delta,2,1,L,
LOWER,KNEE DOMINANT,GLUTES,DEEP LS W  ,DEEP LS W ,,,delta,2,2,L,
LOWER,KNEE DOMINANT,GLUTES,DEEP LS  W  ,DEEP LS  W ,,ISO.,delta,2,2,L,
LOWER,KNEE DOMINANT,GLUTES,BULGARIAN LUNGE  ,BULGARIAN LUNGE ,,,delta,2,2,L,
LOWER,KNEE DOMINANT,GLUTES,LUNGE HEEL UP ,LUNGE HEEL UP,,,sigma,3,3,L,
LOWER,KNEE DOMINANT,GLUTES,BULGARIAN LUNGE W  ,BULGARIAN LUNGE W ,,,sigma,3,3,L,
LOWER,KNEE DOMINANT,GLUTES,LUNGE JUMP SCISSOR  ,LUNGE JUMP SCISSOR ,,,sigma,3,1,L,
LOWER,KNEE DOMINANT,GLUTES,BULGARIAN LUNGE JUMP  ,BULGARIAN LUNGE JUMP ,,,sigma,3,2,L,
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,QUAD STANDING STRETCH ,QUAD STANDING STRETCH,,,alfa,1,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER POSTERIOR,LAYED DOWN HAM BENT  ,LAYED DOWN HAM BENT ,,,alfa,1,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,GLUTE,SITTED GLUTE STRETCH ,SITTED GLUTE STRETCH,,,alfa,1,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,LAYED DOWN HAM STRETCH BENT-STRETCH ,LAYED DOWN HAM STRETCH BENT-STRETCH,,,alfa,1,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,GLUTE,LAYED DOWN GLUTE STRETCH ,LAYED DOWN GLUTE STRETCH,,,alfa,1,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,COUCH STRETCH ,COUCH STRETCH,,,alfa,1,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,GLUTE,STANDING PIGEON STRETCH ,STANDING PIGEON STRETCH,,,alfa,1,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,LAYED DOWN BAND ASSITED STRETCH ,LAYED DOWN BAND ASSITED STRETCH,,,alfa,1,3,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,WARRIOR STRETCH ,WARRIOR STRETCH,,,alfa,1,3,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPLIT STANDING PIKE ,SPLIT STANDING PIKE,,,delta,2,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,HEIGHT WARRIOR STRETCH ,HEIGHT WARRIOR STRETCH,,,delta,2,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,90-90 GLUTE STRETCH ,90-90 GLUTE STRETCH,,,delta,2,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,HEIGHT WARRIOR STRETCH ARCHER ,HEIGHT WARRIOR STRETCH ARCHER,,,delta,2,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,KNEE SPAGAT ,KNEE SPAGAT,,,delta,2,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,ASSISTED SPAGAT DELTA ,ASSISTED SPAGAT DELTA,,,delta,2,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,COUCH STRETCH KNEE SPAGAT ,COUCH STRETCH KNEE SPAGAT,,,delta,2,3,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,WARRIOR HEIGHT PIGEON ,WARRIOR HEIGHT PIGEON,,,delta,2,3,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,PIKE STANDING SPAGAT ,PIKE STANDING SPAGAT,,,sigma,3,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,ARCHER COUCH STRETCH KNEE SPAGAT ,ARCHER COUCH STRETCH KNEE SPAGAT,,,sigma,3,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,KNEE PIGEON STRETCH ,KNEE PIGEON STRETCH,,,sigma,3,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,DIAGONAL STRETCH  ,DIAGONAL STRETCH ,,,sigma,3,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,ASSISTED SPAGAT OMEGA ,ASSISTED SPAGAT OMEGA,,,sigma,3,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT PIGEON STRETCH ,SPAGAT PIGEON STRETCH,,,sigma,3,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,WARRIOR SPAGAT STRETCH ,WARRIOR SPAGAT STRETCH,,,sigma,3,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,STRAIGHT FRONT LEG DIAGONAL STRETCH  ,STRAIGHT FRONT LEG DIAGONAL STRETCH ,,,omega,4,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT BENT-STRAIGHT KNEE PULSE ASSISTED ,SPAGAT BENT-STRAIGHT KNEE PULSE ASSISTED,,,omega,4,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT PIKE PIGEON STRETCH ,SPAGAT PIKE PIGEON STRETCH,,,omega,4,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,ELEVATED FRONT LEG DIAGONAL STRETCH ,ELEVATED FRONT LEG DIAGONAL STRETCH,,,omega,4,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT ARCHER ASSISTED ,SPAGAT ARCHER ASSISTED,,,omega,4,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,WALL FRONT LEG DIAGONAL STRETCH ,WALL FRONT LEG DIAGONAL STRETCH,,,omega,4,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,PIGEON UP AND DOWN SPAGAT ,PIGEON UP AND DOWN SPAGAT,,,omega,4,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT STRENGTH  ,SPAGAT STRENGTH ,,ISO.,omega,4,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT COUCH STRETCH ,SPAGAT COUCH STRETCH,,,spartan,5,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT FULL ,SPAGAT FULL,,,spartan,5,1,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,SPAGAT FULL SPLIT ,SPAGAT FULL SPLIT,,,spartan,5,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,GENTLEMAN ,GENTLEMAN ,,,alfa,1,2,SPAGAT,LS ( LUNGES ) 
MOVILIDAD,SPAGAT ,LOWER ANTERIOR,GENTLEMAN TO PLEGADO,GENTLEMAN TO PLEGADO,,,delta,2,2,SPAGAT,LS ( LUNGES ) 
,,,DEEP LUNGE HEEL UP ,DEEP LUNGE HEEL UP ,,,alfa,1,2,SPAGAT,LS ( LUNGES ) 
,,,DEEP LUNGE HEEL UP W,DEEP LUNGE HEEL UP W,,,delta,2,2,SPAGAT,LS ( LUNGES ) 
FLOW,CORE,FULL BODY ,BIRD DOG KNEE ,BIRD DOG KNEE,,,alfa,1,1,AF,
FLOW,CORE,FULL BODY ,DEAD BUG ASIM ,DEAD BUG ASIM,,,alfa,1,1,AF,
FLOW,CORE,FULL BODY ,CRAB POSITION  ,CRAB POSITION ,,,alfa,1,1,AF,
FLOW,CORE,FULL BODY ,BEAST POSITION  ,BEAST POSITION ,,,alfa,1,2,AF,
FLOW,CORE,FULL BODY ,BEAST   ,BEAST  ,,ISO.,alfa,1,2,AF,
FLOW,CORE,FULL BODY ,BEAST S TOUCH  ,BEAST S TOUCH ,,,alfa,1,2,AF,
FLOW,CORE,CORE ANTERIOR,DEAD BUG SIM ,DEAD BUG SIM,,,alfa,1,2,AF,
FLOW,DESPLAZAMIENTO ,LOWER,BIG FOOT WALK  ,BIG FOOT WALK ,,,alfa,1,2,AF,
FLOW,MOVILIDAD ,LOWER ,PRIMATE POSITION  ,PRIMATE POSITION ,,,alfa,1,2,AF,
FLOW,MOVILIDAD ,LOWER,PRIMATE SIDEWAYS ,PRIMATE SIDEWAYS,,,alfa,1,2,AF,
FLOW,CORE,CORE POSTERIOR,BRIDGE BACK TOUCH ,BRIDGE BACK TOUCH,,,alfa,1,2,AF,
FLOW,CORE ,FULL BODY ,ACT CRAB  ,ACT CRAB ,,,alfa,1,3,AF,
FLOW,CORE ,FULL BODY ,ACT BEAST ,ACT BEAST,,,alfa,1,3,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,BEAR WALK  ,BEAR WALK ,,,alfa,1,3,AF,
FLOW,DESPLAZAMIENTO ,CORE ANTERIOR,BEAST WALK  ,BEAST WALK ,,,alfa,1,3,AF,
FLOW,DESPLAZAMIENTO ,CORE POSTERIOR,CRAB WALK  ,CRAB WALK ,,,alfa,1,3,AF,
FLOW,CORE ,FULL BODY ,BEAST BIRD DOG ,BEAST BIRD DOG,,,delta,2,1,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,BEAST SIDE WALK  ,BEAST SIDE WALK ,,,delta,2,1,AF,
FLOW,MOVILIDAD ,CORE POSTERIOR,CRAB REACH  ,CRAB REACH ,,,delta,2,1,AF,
FLOW,MOVILIDAD ,CORE,WAVE UNLOAD ,WAVE UNLOAD,,,delta,2,1,AF,
FLOW,MOVILIDAD ,CORE,SCORPION REACH ,SCORPION REACH,,,delta,2,2,AF,
FLOW,CARDIO,FULL BODY ,CRAB TOE TOUCH ,CRAB TOE TOUCH,,,delta,2,2,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,CRAB ROTATION  ,CRAB ROTATION ,,,delta,2,2,AF,
FLOW,CARDIO,CORE ANTERIOR,BEAST SIDE KICK  ,BEAST SIDE KICK ,,,delta,2,2,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,MONKEY  ,MONKEY ,,,delta,2,2,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,SIDE MONKEY  ,SIDE MONKEY ,,,delta,2,2,AF,
FLOW,CARDIO,LOWER POSTERIOR,EXPLISVE CRAB  ,EXPLISVE CRAB ,,,delta,2,2,AF,
FLOW,CARDIO,LOWER,BUNNY HOPS  ,BUNNY HOPS ,,,delta,2,2,AF,
FLOW,CARDIO,LOWER,FROGGER  ,FROGGER ,,,delta,2,2,AF,
FLOW,DESPLAZAMIENTO ,UPPER ,LIZARD CRAWL ,LIZARD CRAWL,,,delta,2,2,AF,
FLOW,CARDIO,UPPER ,SPIDER JUMP  ,SPIDER JUMP ,,,delta,2,3,AF,
FLOW,CARDIO,LOWER,FLEA HOPS ,FLEA HOPS,,,delta,2,3,AF,
FLOW,MOVILIDAD ,LOWER ,MONKEY TO APE REACH ,MONKEY TO APE REACH,,,delta,2,3,AF,
FLOW,CARDIO,FULL BODY ,FRONT KICK  ,FRONT KICK ,,,delta,2,3,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,SIDE MACACO  ,SIDE MACACO ,,,delta,2,3,AF,
FLOW,DESPLAZAMIENTO ,LOWER,UBER MONKEY  ,UBER MONKEY ,,,delta,2,3,AF,
FLOW,DESPLAZAMIENTO ,LOWER,UBER KONG  ,UBER KONG ,,,delta,2,3,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,MONKEY TWIST 180  ,MONKEY TWIST 180 ,,,delta,2,3,AF,
FLOW,DESPLAZAMIENTO ,LOWER,DUCK WALK  ,DUCK WALK ,,,delta,2,3,AF,
FLOW,MOVILIDAD ,LOWER POSTERIOR,ELEPHANT WALK  ,ELEPHANT WALK ,,,delta,2,3,AF,
FLOW,ESTABILIDAD,UPPER PUSH,FROG 1/1  ,FROG 1/1 ,,,sigma,3,1,AF,
FLOW,ESTABILIDAD,UPPER PUSH,CROW 1/1  ,CROW 1/1 ,,,sigma,3,1,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,CONEJITO WALK  ,CONEJITO WALK ,,,sigma,3,1,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,GORILLA WALK  ,GORILLA WALK ,,,sigma,3,2,AF,
FLOW,DESPLAZAMIENTO ,UPPER ,LIZARD WALK ,LIZARD WALK,,,sigma,3,2,AF,
FLOW,CARDIO,FULL BODY ,CONEJITO  ,CONEJITO ,,,sigma,3,2,AF,
FLOW,MOVILIDAD ,FULL BODY ,SCORPION REACH COMPLETO  ,SCORPION REACH COMPLETO ,,,sigma,3,2,AF,
FLOW,ESTABILIDAD ,UPPER PUSH,FLYING CROW ,FLYING CROW,,,sigma,3,2,AF,
FLOW,CARDIO,FULL BODY ,FROGGER TO F. KICK  ,FROGGER TO F. KICK ,,,sigma,3,2,AF,
FLOW,DESPLAZAMIENTO ,FULL BODY ,FORWARD APE  ,FORWARD APE ,,,sigma,3,2,AF,
FLOW,DESPLAZAMIENTO ,LOWER,GOOSE WALK  ,GOOSE WALK ,,,sigma,3,2,AF,
FLOW,DESPLAZAMIENTO ,LOWER,COSSACK WALK  ,COSSACK WALK ,,,sigma,3,2,AF,
FLOW,UPPER ,UPPER PUSH,TIGGER BENT  ,TIGGER BENT ,,,sigma,3,2,AF,
FLOW,UPPER ,UPPER PUSH,LION PU ,LION PU,,,sigma,3,2,AF,
FLOW,CARDIO,FULL BODY ,SIDE KICK TO SCORPION ,SIDE KICK TO SCORPION,,,omega,4,1,AF,
FLOW,CARDIO,FULL BODY ,SIDE KICK TO CONEJITO ,SIDE KICK TO CONEJITO,,,omega,4,1,AF,
FLOW,CARDIO,FULL BODY ,BEAST TOE TOUCH  ,BEAST TOE TOUCH ,,,omega,4,1,AF,
FLOW,DESPLAZAMIENTO ,LOWER,GOOSE WALK W  ,GOOSE WALK W ,,,omega,4,1,AF,
FLOW,DESPLAZAMIENTO ,LOWER,COSSACK WALK W ,COSSACK WALK W,,,omega,4,1,AF,
FLOW,CARDIO,FULL BODY ,FROGGER TO CROW  ,FROGGER TO CROW ,,,omega,4,1,AF,
FLOW,CARDIO,FULL BODY ,S.K. TO ARM TOUCH ,S.K. TO ARM TOUCH,,,omega,4,1,AF,
FLOW,CARDIO,UPPER,PU TO CROW ,PU TO CROW,,,omega,4,1,AF,
FLOW,CARDIO,UPPER,FLYING CROW TO PU  ,FLYING CROW TO PU ,,,omega,4,1,AF,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,KNEE PIKE BOX  ,KNEE PIKE BOX ,,ISO.,alfa,1,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,TRIPOD POSITIONING ,TRIPOD POSITIONING,,,alfa,1,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,PIKE BOX ,PIKE BOX,,ISO.,alfa,1,2,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,TRIPOD  ,TRIPOD ,,,alfa,1,2,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,CONEJITO ,CONEJITO,,,alfa,1,3,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,HS KICK  ,HS KICK ,,,alfa,1,3,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,45 WALL HS  ,45 WALL HS ,,ISO.,alfa,1,3,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,HEADSTAND ,HEADSTAND,,,alfa,1,3,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,FOREARM HEADSTAND ,FOREARM HEADSTAND,,,alfa,1,3,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,PLANK PRESS ,PLANK PRESS,,,alfa,1,3,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,TIP TOE PRESS ,TIP TOE PRESS,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,CONEJITO TO WALL BELLY ,CONEJITO TO WALL BELLY,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,WALL BELLY HS ,WALL BELLY HS,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,HS KICK TO WALL BACK ,HS KICK TO WALL BACK,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,WALL BELLY HS JACKS ,WALL BELLY HS JACKS,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,WALL BELLY HS SCISSORS ,WALL BELLY HS SCISSORS,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,WALL BELLY HS SHRUGS ,WALL BELLY HS SHRUGS,,,delta,2,1,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,HS WALL TAPS ,HS WALL TAPS,,,delta,2,2,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,WALL BACK HS  ,WALL BACK HS ,,ISO.,delta,2,2,HS,
PUSH,PUSH VERTICAL,PUSH VERTICAL (STRAIGHT ARM) ,WALL BACK HS SCISSORS ,WALL BACK HS SCISSORS,,,delta,2,2,HS,
