,LÓGICA INTERNA:,,,,,,,,,,,,,,,,,,,,
,Copio lunes a viernes y pego martes a sabado,,,,,,,,,,,,,,,,,,,,
,Copio sabado y pego en lunes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Alfa y Delta,,,,,,,Sigma,,,,,,,Omega,,,,,,
,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,
,7,Martes,TTB,SS,OAPU,SU,,7,Martes,PL,PS,SS,HSPU,,7,Martes,PS,SU,L,QC,
,7,Miércoles,OAP,L,NC,PL,,7,Miércoles,SU,TTB,OAR,L,,7,Miércoles,PHS,TTB,BL,PLPU,
,7,Jueves,PHS,HT,SU,FLR,,7,Jueves,NC,PHS,OAPU,SU,,7,Jueves,NC,SS,HT,HT,
,7,Viernes,PHS,HT,FLR,SU,,7,Viernes,MN/RP,HT,NC,MU,,7,Viernes,MU,OAPU,HS,FLR,
,7,Sábado,HT,QC,HS,MN/RP,,7,Sábado,PS,PLPU,BL,QC,,7,Sábado,QC,DS,NC,SU,
,8,Lunes,HT,QC,HS,MN/RP,,8,Lunes,PS,PLPU,BL,QC,,8,Lunes,QC,DS,NC,SU,
,8,Martes,HSPU,DS,PS,FL,,8,Martes,OAP,DS,HT,FL,,8,Martes,OAP,HSPU,MN/RP,FL,
,8,Miércoles,TTB,SS,OAPU,SU,,8,Miércoles,PL,PS,SS,HSPU,,8,Miércoles,PS,SU,L,QC,
,8,Jueves,OAP,L,NC,PL,,8,Jueves,SU,TTB,OAR,L,,8,Jueves,PHS,TTB,BL,PLPU,
,8,Viernes,PHS,HT,SU,FLR,,8,Viernes,NC,PHS,OAPU,SU,,8,Viernes,NC,SS,HT,HT,
,8,Sábado,PHS,HT,FLR,SU,,8,Sábado,MN/RP,HT,NC,MU,,8,Sábado,MU,OAPU,HS,FLR,
,9,Lunes,PHS,HT,FLR,SU,,9,Lunes,MN/RP,HT,NC,MU,,9,Lunes,MU,OAPU,HS,FLR,
,9,Martes,HT,QC,HS,MN/RP,,9,Martes,PS,PLPU,BL,QC,,9,Martes,QC,DS,NC,SU,
,9,Miércoles,HSPU,DS,PS,FL,,9,Miércoles,OAP,DS,HT,FL,,9,Miércoles,OAP,HSPU,MN/RP,FL,
,9,Jueves,TTB,SS,OAPU,SU,,9,Jueves,PL,PS,SS,HSPU,,9,Jueves,PS,SU,L,QC,
,9,Viernes,OAP,L,NC,PL,,9,Viernes,SU,TTB,OAR,L,,9,Viernes,PHS,TTB,BL,PLPU,
,9,Sábado,PHS,HT,SU,FLR,,9,Sábado,NC,PHS,OAPU,SU,,9,Sábado,NC,SS,HT,HT,
,10,Lunes,PHS,HT,SU,FLR,,10,Lunes,NC,PHS,OAPU,SU,,10,Lunes,NC,SS,HT,HT,
,10,Martes,PHS,HT,FLR,SU,,10,Martes,MN/RP,HT,NC,MU,,10,Martes,MU,OAPU,HS,FLR,
,10,Miércoles,HT,QC,HS,MN/RP,,10,Miércoles,PS,PLPU,BL,QC,,10,Miércoles,QC,DS,NC,SU,
,10,Jueves,HSPU,DS,PS,FL,,10,Jueves,OAP,DS,HT,FL,,10,Jueves,OAP,HSPU,MN/RP,FL,
,10,Viernes,TTB,SS,OAPU,SU,,10,Viernes,PL,PS,SS,HSPU,,10,Viernes,PS,SU,L,QC,
,10,Sábado,OAP,L,NC,PL,,10,Sábado,SU,TTB,OAR,L,,10,Sábado,PHS,TTB,BL,PLPU,
,11,Lunes,OAP,L,NC,PL,,11,Lunes,SU,TTB,OAR,L,,11,Lunes,PHS,TTB,BL,PLPU,
,11,Martes,PHS,HT,SU,FLR,,11,Martes,NC,PHS,OAPU,SU,,11,Martes,NC,SS,HT,HT,
,11,Miércoles,PHS,HT,FLR,SU,,11,Miércoles,MN/RP,HT,NC,MU,,11,Miércoles,MU,OAPU,HS,FLR,
,11,Jueves,HT,QC,HS,MN/RP,,11,Jueves,PS,PLPU,BL,QC,,11,Jueves,QC,DS,NC,SU,
,11,Viernes,HSPU,DS,PS,FL,,11,Viernes,OAP,DS,HT,FL,,11,Viernes,OAP,HSPU,MN/RP,FL,
,11,Sábado,TTB,SS,OAPU,SU,,11,Sábado,PL,PS,SS,HSPU,,11,Sábado,PS,SU,L,QC,
